Student_ID,Name,Gender,Department,Year,Semester,Age,Attendance,Python,Statistics,Machine_Learning,Deep_Learning,Database,Data_Visualization,Assignment_Score,Internal_Marks,Project_Marks,Study_Hours,Placement_Status,Total_Marks,Percentage,Grade,GPA,Rank,Attendance_Status,At_Risk,Risk_Score,Risk_Category
DS0044,Student_0044,Male,Information Technology,1,4,21,59.77,43.0,78,61,89,61,60,83,56,78,6.0,Placed,392.0,65.33333333333333,C,7.0,114,Critical,True,3,High Risk
DS0045,Student_0045,Male,Artificial Intelligence,1,4,22,83.23,77.0,58,51,81,74,61,65,79,66,13.1,Placed,402.0,67.0,C,7.0,104,Good,False,0,Safe
DS0046,Student_0046,Other,Artificial Intelligence,1,2,20,77.72,90.0,54,34,94,100,64,58,80,82,5.5,Placed,436.0,72.66666666666667,B,8.0,69,Good,True,2,Medium Risk
DS0047,Student_0047,Male,Information Technology,2,3,23,81.97,80.0,100,73,65,68,79,69,99,72,27.7,Not Placed,465.0,77.5,B,8.0,40,Good,False,0,Safe
DS0048,Student_0048,Female,Computer Science,2,4,24,69.17,53.0,79,75,57,73,88,69,70,49,4.7,Internship,425.0,70.83333333333334,B,8.0,80,Warning,True,2,Medium Risk
DS0049,Student_0049,Other,Data Science,1,2,20,100.0,77.0,62,32,82,74,59,81,77,72,21.7,Placed,386.0,64.33333333333333,C,7.0,120,Excellent,True,1,Low Risk
DS0050,Student_0050,Male,Data Science,1,3,21,83.77,79.0,89,62,63,63,82,71,86,41,10.2,Internship,438.0,73.0,B,8.0,67,Good,False,0,Safe
DS0051,Student_0051,Male,Data Science,2,1,23,92.59,58.0,35,56,56,67,87,60,58,83,14.4,Not Placed,359.0,59.833333333333336,D,6.0,145,Excellent,True,1,Low Risk
DS0052,Student_0052,Male,Computer Science,1,2,22,75.79,80.0,70,81,54,70,67,59,70,91,2.0,Not Placed,422.0,70.33333333333334,B,8.0,83,Good,True,1,Low Risk
DS0053,Student_0053,Female,Computer Science,2,3,20,86.58,48.0,56,92,74,82,53,72,76,77,21.4,Placed,405.0,67.5,C,7.0,101,Excellent,True,1,Low Risk
DS0054,Student_0054,Other,Information Technology,1,1,21,100.0,82.0,46,36,85,88,55,82,66,61,16.1,Internship,392.0,65.33333333333333,C,7.0,114,Excellent,True,1,Low Risk
DS0055,Student_0055,Male,Computer Science,2,4,20,95.0,66.0,55,100,97,87,56,84,83,84,18.4,Not Placed,461.0,76.83333333333333,B,8.0,44,Excellent,False,0,Safe
DS0056,Student_0056,Other,Computer Science,1,4,20,80.14,43.0,71,62,51,95,96,78,55,80,16.4,Not Placed,418.0,69.66666666666667,C,7.0,87,Good,True,1,Low Risk
DS0057,Student_0057,Female,Information Technology,1,4,22,67.01,50.0,69,69,97,83,70,72,60,56,19.6,Not Placed,438.0,73.0,B,8.0,67,Warning,True,1,Low Risk
DS0058,Student_0058,Other,Computer Science,2,3,20,84.14,76.0,43,68,85,86,85,80,91,91,15.1,Not Placed,443.0,73.83333333333333,B,8.0,62,Good,True,1,Low Risk
DS0059,Student_0059,Female,Computer Science,2,1,23,75.18,51.0,65,73,67,61,74,78,76,57,12.6,Internship,391.0,65.16666666666666,C,7.0,115,Good,False,0,Safe
DS0060,Student_0060,Female,Artificial Intelligence,1,3,23,84.75,92.0,53,38,42,70,70,98,55,69,10.7,Internship,365.0,60.83333333333333,C,7.0,141,Good,True,1,Low Risk
DS0061,Student_0061,Other,Computer Science,2,3,24,81.57,57.0,65,91,98,65,99,80,100,87,11.0,Internship,475.0,79.16666666666666,B,8.0,30,Good,False,0,Safe
DS0062,Student_0062,Other,Data Science,1,1,21,56.76,85.0,65,63,84,70,74,84,57,53,15.6,Internship,441.0,73.5,B,8.0,64,Critical,True,1,Low Risk
DS0063,Student_0063,Female,Computer Science,1,1,20,88.69,71.0,60,82,50,64,61,75,43,45,15.9,Not Placed,388.0,64.66666666666666,C,7.0,118,Excellent,False,0,Safe
DS0064,Student_0064,Female,Information Technology,2,1,22,94.94,67.0,68,70,73,84,53,68,34,49,10.2,Placed,415.0,69.16666666666667,C,7.0,90,Excellent,False,0,Safe
DS0065,Student_0065,Female,Artificial Intelligence,2,2,24,84.68,62.0,64,71,65,86,60,76,69,98,11.6,Not Placed,408.0,68.0,C,7.0,97,Good,False,0,Safe
DS0066,Student_0066,Female,Computer Science,1,2,20,91.85,100.0,67,51,71,54,59,92,93,82,25.5,Placed,402.0,67.0,C,7.0,104,Excellent,False,0,Safe
DS0067,Student_0067,Male,Computer Science,1,3,21,77.21,42.0,65,57,72,61,68,76,72,81,24.2,Not Placed,365.0,60.83333333333333,C,7.0,141,Good,True,1,Low Risk
DS0068,Student_0068,Female,Data Science,1,4,20,85.89,95.0,75,79,53,69,84,93,76,69,18.4,Placed,455.0,75.83333333333333,B,8.0,50,Excellent,False,0,Safe
DS0069,Student_0069,Other,Computer Science,2,1,24,74.19,26.0,76,25,44,77,77,100,71,81,27.3,Not Placed,325.0,54.166666666666664,D,6.0,168,Warning,True,2,Medium Risk
DS0070,Student_0070,Other,Data Science,1,2,23,76.61,72.0,55,68,69,50,66,73,75,84,9.0,Placed,380.0,63.33333333333333,C,7.0,126,Good,True,1,Low Risk
DS0071,Student_0071,Female,Computer Science,2,1,20,84.49,54.0,87,64,49,77,77,84,50,79,13.9,Internship,408.0,68.0,C,7.0,97,Good,True,1,Low Risk
DS0072,Student_0072,Other,Artificial Intelligence,1,3,22,81.57,63.0,83,92,97,90,68,87,71,64,13.1,Not Placed,493.0,82.16666666666667,A,9.0,17,Good,False,0,Safe
DS0073,Student_0073,Male,Data Science,2,2,24,73.99,80.0,70,75,80,64,81,50,56,59,16.4,Placed,450.0,75.0,B,8.0,55,Warning,True,1,Low Risk
DS0074,Student_0074,Other,Artificial Intelligence,2,3,23,53.84,66.0,65,79,75,75,76,75,71,90,24.3,Internship,436.0,72.66666666666667,B,8.0,69,Critical,True,1,Low Risk
DS0075,Student_0075,Female,Computer Science,1,4,24,68.54,73.0,62,77,62,70,85,89,82,76,10.7,Internship,429.0,71.5,B,8.0,76,Warning,True,1,Low Risk
DS0076,Student_0076,Other,Information Technology,1,4,20,63.47,57.0,62,78,56,77,51,97,74,81,16.8,Not Placed,381.0,63.5,C,7.0,125,Critical,True,1,Low Risk
DS0077,Student_0077,Female,Data Science,1,2,22,97.34,77.0,68,92,63,87,60,73,69,58,14.4,Internship,447.0,74.5,B,8.0,58,Excellent,False,0,Safe
DS0078,Student_0078,Male,Information Technology,2,1,24,85.19,46.0,56,73,90,100,61,75,73,68,6.2,Placed,426.0,71.0,B,8.0,79,Excellent,True,2,Medium Risk
DS0079,Student_0079,Other,Artificial Intelligence,1,4,20,79.2,47.0,80,66,61,70,82,98,79,89,24.7,Internship,406.0,67.66666666666666,C,7.0,100,Good,True,1,Low Risk
DS0080,Student_0080,Other,Information Technology,2,4,24,90.08,87.0,79,79,78,54,81,97,67,57,14.3,Not Placed,458.0,76.33333333333333,B,8.0,47,Excellent,False,0,Safe
DS0081,Student_0081,Female,Data Science,1,1,20,77.17,72.0,71,87,65,75,55,72,67,100,15.3,Not Placed,425.0,70.83333333333334,B,8.0,80,Good,False,0,Safe
DS0082,Student_0082,Female,Computer Science,2,3,22,80.45,66.0,39,57,66,60,91,73,72,100,2.0,Placed,379.0,63.16666666666667,C,7.0,127,Good,True,2,Medium Risk
DS0083,Student_0083,Male,Data Science,1,4,20,91.55,40.0,62,70,80,77,64,79,63,85,16.8,Not Placed,393.0,65.5,C,7.0,113,Excellent,True,1,Low Risk
DS0084,Student_0084,Other,Computer Science,1,3,20,69.67,70.0,92,33,49,52,65,100,99,68,13.5,Not Placed,361.0,60.16666666666667,C,7.0,144,Warning,True,2,Medium Risk
DS0085,Student_0085,Female,Artificial Intelligence,1,2,23,85.01,53.0,41,68,55,69,46,55,84,62,20.4,Placed,332.0,55.333333333333336,D,6.0,166,Excellent,True,1,Low Risk
DS0086,Student_0086,Male,Computer Science,2,2,24,89.0,70.0,49,65,75,79,68,100,100,56,9.5,Internship,406.0,67.66666666666666,C,7.0,100,Excellent,True,2,Medium Risk
DS0087,Student_0087,Female,Information Technology,1,2,21,69.45,92.0,54,50,63,76,68,100,76,88,12.6,Not Placed,403.0,67.16666666666666,C,7.0,103,Warning,True,1,Low Risk
DS0088,Student_0088,Female,Data Science,1,4,24,95.49,67.0,59,30,49,43,36,81,83,61,19.7,Internship,284.0,47.333333333333336,F,5.0,173,Excellent,True,3,High Risk
DS0089,Student_0089,Male,Computer Science,2,2,21,81.04,81.0,61,78,78,62,53,79,60,75,20.0,Internship,413.0,68.83333333333333,C,7.0,92,Good,False,0,Safe
DS0090,Student_0090,Female,Computer Science,2,3,21,58.31,79.0,93,89,55,95,62,72,48,89,26.6,Internship,473.0,78.83333333333333,B,8.0,32,Critical,True,1,Low Risk
DS0091,Student_0091,Female,Data Science,1,1,22,81.17,58.0,75,59,61,82,69,86,65,74,15.2,Internship,404.0,67.33333333333333,C,7.0,102,Good,False,0,Safe
DS0092,Student_0092,Other,Computer Science,1,4,24,80.28,57.0,80,80,79,93,92,66,96,80,14.5,Not Placed,481.0,80.16666666666666,A,9.0,24,Good,False,0,Safe
DS0093,Student_0093,Other,Computer Science,2,4,24,89.89,88.0,37,40,82,71,74,77,65,69,2.0,Not Placed,392.0,65.33333333333333,C,7.0,114,Excellent,True,2,Medium Risk
DS0094,Student_0094,Other,Information Technology,2,2,20,87.37,74.0,83,46,60,53,56,86,68,37,9.0,Placed,372.0,62.0,C,7.0,134,Excellent,True,2,Medium Risk
DS0095,Student_0095,Male,Computer Science,2,2,23,77.56,88.0,28,65,52,82,60,80,49,92,10.7,Internship,375.0,62.5,C,7.0,131,Good,True,1,Low Risk
DS0096,Student_0096,Other,Data Science,1,1,22,57.46,62.0,70,47,73,85,74,58,85,79,18.9,Placed,411.0,68.5,C,7.0,94,Critical,True,2,Medium Risk
DS0097,Student_0097,Male,Computer Science,1,1,21,67.61,98.0,77,80,100,67,58,100,76,64,22.4,Not Placed,480.0,80.0,A,9.0,25,Warning,True,1,Low Risk
DS0098,Student_0098,Other,Data Science,2,3,20,75.08,68.0,66,78,51,75,99,71,66,88,3.9,Internship,437.0,72.83333333333334,B,8.0,68,Good,True,1,Low Risk
DS0099,Student_0099,Male,Artificial Intelligence,2,4,20,84.86,83.0,64,76,53,90,89,50,71,80,19.9,Internship,455.0,75.83333333333333,B,8.0,50,Good,False,0,Safe
DS0100,Student_0100,Other,Computer Science,1,2,20,94.99,73.0,74,92,88,27,65,58,77,61,11.3,Not Placed,419.0,69.83333333333334,C,7.0,86,Excellent,True,1,Low Risk
DS0101,Student_0101,Female,Artificial Intelligence,2,4,24,94.19,92.0,62,77,42,98,79,70,68,67,11.9,Internship,450.0,75.0,B,8.0,55,Excellent,True,1,Low Risk
DS0102,Student_0102,Other,Artificial Intelligence,2,4,23,96.41,80.0,74,80,70,78,64,62,100,89,22.8,Internship,446.0,74.33333333333333,B,8.0,59,Excellent,False,0,Safe
DS0103,Student_0103,Male,Artificial Intelligence,1,2,24,87.86,70.0,67,67,76,91,73,86,67,61,9.9,Placed,444.0,74.0,B,8.0,61,Excellent,True,1,Low Risk
DS0104,Student_0104,Female,Computer Science,2,2,24,63.31,45.0,74,69,63,26,51,96,69,79,32.3,Placed,328.0,54.666666666666664,D,6.0,167,Critical,True,2,Medium Risk
DS0105,Student_0105,Other,Information Technology,2,2,22,100.0,93.0,65,61,65,78,68,76,98,80,22.7,Not Placed,430.0,71.66666666666667,B,8.0,75,Excellent,False,0,Safe
DS0106,Student_0106,Female,Computer Science,2,1,22,81.31,59.0,57,77,85,71,51,91,71,41,14.7,Internship,400.0,66.66666666666666,C,7.0,106,Good,False,0,Safe
DS0107,Student_0107,Male,Artificial Intelligence,1,4,23,89.33,68.0,100,48,64,96,77,62,85,54,18.3,Internship,453.0,75.5,B,8.0,52,Excellent,True,1,Low Risk
DS0108,Student_0108,Female,Computer Science,1,4,22,88.54,73.0,61,70,61,54,65,57,63,65,25.3,Internship,384.0,64.0,C,7.0,122,Excellent,False,0,Safe
DS0109,Student_0109,Male,Computer Science,1,1,20,90.75,75.0,67,77,38,69,100,45,46,78,11.0,Not Placed,426.0,71.0,B,8.0,79,Excellent,True,1,Low Risk
DS0110,Student_0110,Other,Information Technology,2,4,21,94.38,90.0,65,41,51,29,66,72,39,84,19.9,Not Placed,342.0,56.99999999999999,D,6.0,158,Excellent,True,1,Low Risk
DS0111,Student_0111,Male,Information Technology,2,4,23,76.87,75.0,85,53,100,56,81,87,75,73,25.5,Internship,450.0,75.0,B,8.0,55,Good,False,0,Safe
DS0112,Student_0112,Other,Data Science,2,4,23,63.49,66.0,43,58,78,76,46,65,61,86,21.7,Not Placed,367.0,61.16666666666667,C,7.0,139,Critical,True,2,Medium Risk
DS0113,Student_0113,Other,Computer Science,1,4,22,88.76,68.0,64,72,58,53,56,51,72,71,18.4,Placed,371.0,61.83333333333333,C,7.0,135,Excellent,False,0,Safe
DS0114,Student_0114,Other,Data Science,1,1,24,86.6,70.0,48,51,70,85,37,64,70,50,2.0,Not Placed,361.0,60.16666666666667,C,7.0,144,Excellent,True,2,Medium Risk
DS0115,Student_0115,Other,Artificial Intelligence,1,4,20,83.85,84.0,55,63,49,49,67,78,95,58,15.6,Not Placed,367.0,61.16666666666667,C,7.0,139,Good,True,1,Low Risk
DS0116,Student_0116,Male,Information Technology,1,4,22,83.46,87.0,89,49,65,90,78,71,71,76,11.3,Internship,458.0,76.33333333333333,B,8.0,47,Good,True,1,Low Risk
DS0117,Student_0117,Other,Artificial Intelligence,1,4,20,82.31,78.0,100,43,75,59,79,91,36,98,18.6,Placed,434.0,72.33333333333334,B,8.0,71,Good,True,1,Low Risk
DS0118,Student_0118,Male,Information Technology,1,3,24,80.1,86.0,52,58,72,70,74,71,49,82,2.0,Not Placed,412.0,68.66666666666667,C,7.0,93,Good,True,1,Low Risk
DS0119,Student_0119,Other,Information Technology,2,4,23,86.44,80.0,48,71,68,88,67,69,68,51,18.7,Placed,422.0,70.33333333333334,B,8.0,83,Excellent,True,1,Low Risk
DS0120,Student_0120,Female,Computer Science,1,4,21,82.69,44.0,81,72,100,53,68,75,76,64,15.4,Placed,418.0,69.66666666666667,C,7.0,87,Good,True,1,Low Risk
DS0121,Student_0121,Male,Artificial Intelligence,2,4,24,61.99,46.0,72,77,67,46,85,59,63,93,11.5,Placed,393.0,65.5,C,7.0,113,Critical,True,2,Medium Risk
DS0122,Student_0122,Female,Artificial Intelligence,2,2,22,73.62,80.0,62,74,68,83,62,56,78,68,32.6,Internship,429.0,71.5,B,8.0,76,Warning,True,1,Low Risk
DS0123,Student_0123,Other,Artificial Intelligence,1,2,20,83.12,44.0,73,53,63,72,35,90,69,66,2.0,Not Placed,340.0,56.666666666666664,D,6.0,160,Good,True,2,Medium Risk
DS0124,Student_0124,Other,Data Science,1,1,20,63.23,80.0,68,55,72,61,62,65,100,91,16.7,Placed,398.0,66.33333333333333,C,7.0,108,Critical,True,1,Low Risk
DS0125,Student_0125,Female,Artificial Intelligence,2,3,22,90.98,56.0,62,71,71,69,70,54,69,62,16.8,Not Placed,399.0,66.5,C,7.0,107,Excellent,False,0,Safe
DS0126,Student_0126,Other,Data Science,2,4,21,90.71,64.0,92,78,50,80,58,63,62,65,12.0,Placed,422.0,70.33333333333334,B,8.0,83,Excellent,False,0,Safe
DS0127,Student_0127,Male,Artificial Intelligence,2,3,22,67.31,86.0,79,96,100,55,71,59,69,56,21.9,Internship,487.0,81.16666666666667,A,9.0,20,Warning,True,1,Low Risk
DS0128,Student_0128,Male,Artificial Intelligence,2,4,24,82.53,56.0,100,63,71,51,96,58,93,87,16.7,Not Placed,437.0,72.83333333333334,B,8.0,68,Good,False,0,Safe
DS0129,Student_0129,Female,Data Science,1,1,20,79.91,33.0,55,80,88,87,46,79,67,47,13.7,Placed,389.0,64.83333333333333,C,7.0,117,Good,True,1,Low Risk
DS0130,Student_0130,Female,Artificial Intelligence,1,2,21,56.95,65.0,68,62,63,69,77,82,71,75,22.7,Internship,404.0,67.33333333333333,C,7.0,102,Critical,True,1,Low Risk
DS0131,Student_0131,Other,Information Technology,1,4,20,76.87,41.0,40,74,70,73,63,43,83,93,20.5,Not Placed,361.0,60.16666666666667,C,7.0,144,Good,True,1,Low Risk
DS0132,Student_0132,Female,Information Technology,2,2,20,84.98,57.0,80,83,93,57,67,83,73,78,14.2,Placed,437.0,72.83333333333334,B,8.0,68,Good,False,0,Safe
DS0133,Student_0133,Other,Computer Science,1,1,20,66.58,92.0,56,61,70,83,48,69,81,65,17.6,Internship,410.0,68.33333333333333,C,7.0,95,Warning,True,2,Medium Risk
DS0134,Student_0134,Male,Data Science,2,3,21,66.98,66.0,80,77,60,67,86,96,87,79,17.1,Not Placed,436.0,72.66666666666667,B,8.0,69,Warning,True,1,Low Risk
DS0135,Student_0135,Male,Artificial Intelligence,1,3,24,58.06,67.0,80,64,74,83,62,85,99,96,4.6,Internship,430.0,71.66666666666667,B,8.0,75,Critical,True,2,Medium Risk
DS0136,Student_0136,Male,Artificial Intelligence,2,4,22,86.51,81.0,91,63,72,40,74,90,60,57,2.0,Internship,421.0,70.16666666666667,B,8.0,84,Excellent,True,2,Medium Risk
DS0137,Student_0137,Female,Information Technology,1,1,23,78.44,66.0,61,47,77,63,54,84,54,75,17.0,Internship,368.0,61.33333333333333,C,7.0,138,Good,True,1,Low Risk
DS0138,Student_0138,Male,Artificial Intelligence,2,3,22,92.3,63.0,77,58,78,78,26,70,50,58,23.2,Not Placed,380.0,63.33333333333333,C,7.0,126,Excellent,True,1,Low Risk
DS0139,Student_0139,Male,Computer Science,2,1,21,75.16,41.0,87,69,52,61,55,62,91,54,27.2,Placed,365.0,60.83333333333333,C,7.0,141,Good,True,1,Low Risk
DS0140,Student_0140,Male,Artificial Intelligence,2,4,22,58.37,70.0,53,60,58,51,71,63,58,61,30.0,Placed,363.0,60.5,C,7.0,143,Critical,True,1,Low Risk
DS0141,Student_0141,Male,Computer Science,2,4,21,72.97,71.0,74,43,60,73,55,77,62,70,14.3,Not Placed,376.0,62.66666666666667,C,7.0,130,Warning,True,2,Medium Risk
DS0142,Student_0142,Female,Artificial Intelligence,1,2,22,100.0,59.0,77,74,69,64,82,54,83,46,17.5,Placed,425.0,70.83333333333334,B,8.0,80,Excellent,False,0,Safe
DS0143,Student_0143,Male,Artificial Intelligence,1,1,23,70.79,94.0,77,73,62,70,66,62,51,80,19.8,Not Placed,442.0,73.66666666666667,B,8.0,63,Warning,True,1,Low Risk
DS0144,Student_0144,Male,Information Technology,2,4,23,72.01,73.0,84,71,76,75,69,81,75,53,23.9,Placed,448.0,74.66666666666667,B,8.0,57,Warning,True,1,Low Risk
DS0145,Student_0145,Male,Computer Science,1,1,21,99.08,69.0,53,88,79,51,97,77,71,65,20.1,Placed,437.0,72.83333333333334,B,8.0,68,Excellent,False,0,Safe
DS0146,Student_0146,Male,Computer Science,1,2,22,82.46,77.0,70,58,72,69,50,67,91,67,20.6,Internship,396.0,66.0,C,7.0,110,Good,False,0,Safe
DS0147,Student_0147,Female,Computer Science,2,2,22,100.0,64.0,72,81,63,85,55,63,51,60,20.6,Not Placed,420.0,70.0,B,8.0,85,Excellent,False,0,Safe
DS0148,Student_0148,Other,Data Science,2,3,21,87.0,77.0,72,53,82,52,87,67,44,65,8.3,Placed,423.0,70.5,B,8.0,82,Excellent,True,1,Low Risk
