Student_ID,Python,Statistics,Machine_Learning,Deep_Learning,Database,Data_Visualization
DS0291,60.0,67,71,68,70,48
DS0292,76.0,62,79,76,83,81
DS0293,58.0,69,69,37,67,68
DS0294,87.0,83,71,64,85,70
DS0295,78.0,44,78,82,77,67
DS0296,92.0,70,78,78,60,78
DS0297,55.0,75,81,69,85,65
DS0298,91.0,73,55,75,68,100
DS0299,64.0,92,76,57,60,62
DS0300,67.0,75,53,55,69,78
DS0301,39.0,58,88,71,49,100
DS0302,79.0,55,89,57,74,45
DS0303,70.0,83,87,65,71,75
DS0304,64.0,94,78,100,52,60
DS0305,91.0,88,79,73,73,69
DS0306,70.0,73,78,61,92,66
DS0307,64.0,74,87,63,83,60
DS0308,98.0,76,64,81,66,64
DS0309,60.0,68,76,63,46,57
DS0310,86.0,59,61,70,70,74
DS0311,69.0,79,62,56,100,59
DS0312,43.0,98,52,93,85,79
DS0313,63.0,62,75,57,36,76
DS0314,65.0,63,99,75,75,64
DS0315,61.0,53,97,83,37,47
DS0316,64.0,66,79,46,94,73
DS0317,51.0,69,63,60,93,69
DS0318,59.0,68,57,89,75,76
DS0319,49.0,67,48,69,45,78
DS0320,75.0,38,69,55,72,54
DS0321,79.0,100,61,66,61,73
DS0322,100.0,58,74,59,97,83
DS0323,76.0,73,71,60,95,54
DS0324,63.0,38,74,62,48,86
DS0325,66.0,67,89,59,71,84
DS0326,86.0,52,66,73,59,91
DS0327,53.0,80,86,74,42,55
DS0328,60.0,60,75,97,94,75
DS0329,72.0,25,73,80,77,68
DS0330,33.0,63,81,65,82,72
DS0331,93.0,74,66,81,83,65
DS0332,73.0,54,89,53,64,71
DS0333,79.0,53,69,71,83,98
DS0334,52.0,75,52,25,54,63
DS0335,59.0,73,66,56,85,76
DS0336,65.0,79,60,100,83,90
DS0337,90.0,76,82,56,54,94
DS0338,61.0,87,74,74,59,68
DS0339,74.0,81,79,76,65,58
DS0340,65.0,74,72,29,56,69
DS0341,66.0,100,36,64,70,58
DS0342,74.0,81,52,54,44,83
DS0343,62.0,73,100,75,94,88
DS0344,80.0,66,81,57,50,69
DS0345,70.0,100,79,44,25,81
DS0346,78.0,70,85,63,50,100
DS0347,35.0,98,68,79,49,63
DS0348,42.0,50,41,54,58,46
DS0349,53.0,69,83,84,79,59
DS0350,60.0,62,67,46,79,80
DS0351,73.0,50,52,54,63,84
DS0352,65.0,73,94,67,88,78
DS0353,63.0,39,71,70,73,100
DS0354,54.0,88,72,44,69,74
DS0355,75.0,92,86,80,56,96
DS0356,62.0,66,59,68,98,91
DS0357,100.0,71,38,79,56,60
DS0358,75.0,67,49,85,29,63
DS0359,99.0,48,76,76,74,63
DS0360,82.0,71,57,66,66,60
DS0361,51.0,49,95,75,64,56
DS0362,31.0,68,67,82,42,87
DS0363,53.0,70,58,76,43,38
DS0364,86.0,59,70,70,66,64
DS0365,38.0,83,60,88,63,69
DS0366,55.0,60,71,67,81,90
DS0367,78.0,66,86,100,56,55
DS0368,66.0,79,67,66,70,82
DS0369,65.0,69,62,92,77,91
DS0370,76.0,77,61,77,67,27
DS0371,94.0,69,71,90,80,57
DS0372,56.0,60,42,54,85,100
DS0373,44.0,60,60,69,69,100
DS0374,75.0,79,91,84,71,52
DS0375,48.0,55,64,50,76,81
DS0376,84.0,40,90,76,85,76
DS0377,61.0,66,57,75,59,67
DS0378,75.0,57,69,91,96,92
DS0379,77.0,78,55,68,47,40
DS0380,72.0,63,63,100,47,76
DS0381,77.0,57,75,100,72,92
DS0382,93.0,97,72,65,90,81
DS0383,41.0,74,80,47,60,57
DS0384,75.0,95,87,54,82,83
DS0385,52.0,92,78,70,62,74
DS0386,68.0,62,72,99,65,74
DS0387,61.0,71,83,70,65,66
DS0388,66.0,56,66,94,49,46
DS0389,81.0,50,70,74,87,46
DS0390,45.0,79,84,66,52,84
DS0391,100.0,47,75,54,85,56
DS0392,69.0,87,59,46,69,89
DS0393,89.0,79,83,78,68,54
DS0394,63.0,77,64,74,54,57
DS0395,82.0,99,59,55,59,66
DS0396,58.0,63,37,54,59,71
DS0397,61.0,64,64,71,91,82
DS0398,73.0,67,69,59,79,69
DS0399,76.0,79,52,69,95,96
DS0400,72.0,74,77,61,50,94
DS0401,73.0,83,65,47,79,87
DS0402,54.0,62,72,62,82,67
DS0403,59.0,74,65,95,90,79
DS0404,60.0,60,92,82,64,68
DS0405,88.0,76,25,80,99,40
DS0406,79.0,64,42,80,96,87
DS0407,79.0,62,67,41,65,70
DS0408,67.0,60,78,62,76,70
DS0409,98.0,64,57,55,44,93
DS0410,100.0,74,64,61,42,66
DS0411,58.0,83,25,76,100,47
DS0412,100.0,72,73,44,62,87
DS0413,80.0,43,87,81,87,79
DS0414,75.0,87,87,57,74,57
DS0415,72.0,63,95,68,72,88
DS0416,61.0,66,47,52,62,69
DS0417,87.0,55,76,100,73,58
DS0418,68.0,62,55,98,77,79
DS0419,50.0,72,67,42,78,84
DS0420,40.0,84,58,69,49,61
DS0421,69.0,85,86,80,48,57
DS0422,77.0,61,45,66,90,77
DS0423,60.0,89,87,87,65,69
DS0424,96.0,100,88,70,67,79
DS0425,66.0,71,57,81,91,94
DS0426,66.0,66,96,100,52,51
DS0427,70.0,46,53,53,81,74
DS0428,57.0,86,100,36,80,43
DS0429,49.0,94,69,99,88,58
DS0430,70.0,64,62,62,49,59
DS0431,73.0,63,38,84,74,65
DS0432,83.0,79,25,78,55,49
DS0433,85.0,47,86,68,69,44
DS0434,37.0,75,94,92,76,65
DS0435,50.0,82,69,83,62,82
DS0436,54.0,66,87,62,57,72
DS0437,56.0,54,50,82,74,71
DS0438,53.0,54,49,82,81,97
DS0439,57.0,85,69,65,59,62
DS0440,67.0,72,59,77,92,50
DS0441,48.0,82,77,89,67,68
DS0442,92.0,95,75,99,69,84
DS0443,67.0,96,100,45,65,54
DS0444,30.0,69,100,90,42,65
DS0445,83.0,41,64,85,48,73
DS0446,68.0,83,78,59,72,92
DS0447,61.0,61,88,85,73,81
DS0448,81.0,70,66,70,83,60
DS0449,50.0,54,62,87,70,63
DS0450,81.0,85,61,73,84,53
DS0451,53.0,76,87,69,67,76
DS0452,38.0,78,100,79,53,74
DS0453,62.0,53,42,51,72,85
DS0454,65.0,89,48,79,88,71
DS0455,66.0,72,62,74,100,68
DS0456,42.0,76,50,89,70,66
DS0457,70.0,76,58,100,61,93
DS0458,71.0,62,65,96,55,56
DS0459,80.0,75,69,64,57,81
DS0460,49.0,76,70,99,66,88
DS0461,83.0,63,66,53,60,96
DS0462,69.0,69,80,30,73,69
DS0463,93.0,75,73,84,86,82
DS0464,70.0,63,92,82,75,65
DS0465,85.0,66,81,71,51,80
DS0466,57.0,69,38,62,66,67
DS0467,58.0,85,64,54,69,72
DS0468,81.0,72,85,62,72,60
DS0469,57.0,76,73,86,81,86
DS0470,65.0,87,94,48,91,52
DS0471,69.0,70,95,27,56,70
DS0472,68.0,70,44,77,63,89
DS0473,53.0,63,69,79,44,46
DS0474,74.0,60,71,76,96,82
DS0475,65.0,80,73,81,50,68
DS0476,79.0,71,70,87,61,68
DS0477,62.0,60,75,65,63,50
DS0478,61.0,54,61,70,58,71
DS0479,64.0,67,86,43,100,100
DS0480,67.0,78,52,45,100,60
DS0481,64.0,66,44,82,54,92
DS0482,63.0,65,84,58,96,50
DS0483,64.0,73,58,55,53,63
DS0484,35.0,87,67,97,44,84
DS0485,55.0,49,92,58,92,78
DS0486,79.0,69,77,63,52,96
DS0487,69.0,97,49,78,100,70
DS0488,70.0,53,93,65,53,44
DS0489,99.0,65,76,47,93,63
DS0490,64.0,75,63,71,54,74
DS0491,86.0,74,88,40,32,64
DS0492,62.0,91,68,97,58,81
DS0493,98.0,70,51,64,70,55
DS0494,77.0,61,72,48,86,68
DS0495,72.0,44,67,82,64,67
DS0496,84.0,69,57,71,52,54
DS0497,71.0,71,100,79,61,80
DS0498,49.0,67,86,70,55,50
DS0499,63.0,59,62,67,69,58
DS0500,82.0,96,98,84,81,67
DS0501,77.0,92,75,92,51,100
DS0502,78.0,100,46,94,62,63
DS0503,75.0,66,71,80,86,65
DS0504,81.0,46,46,65,67,48
DS0505,71.0,72,88,61,82,71
DS0506,64.0,63,52,78,58,86
DS0507,81.0,74,85,78,96,78
DS0508,60.0,79,66,94,77,84
DS0509,36.0,79,65,56,75,88
DS0510,69.0,54,45,82,62,75
DS0511,85.0,67,68,76,75,79
DS0512,53.0,65,49,79,72,45
DS0513,72.0,67,64,65,100,58
DS0514,63.0,94,78,85,77,63
DS0515,51.0,69,73,64,75,70
DS0516,63.0,93,91,77,68,79
DS0517,81.0,56,61,62,54,85
DS0518,81.0,78,71,62,58,89
DS0519,48.0,47,64,69,57,80
DS0520,84.0,65,86,53,60,76
DS0521,35.0,53,77,50,76,84
DS0522,59.0,91,54,71,88,87
DS0523,80.0,48,77,55,61,100
DS0524,78.0,64,93,61,86,97
DS0525,71.0,72,61,62,68,69
DS0526,73.0,63,70,52,67,56
DS0527,63.0,54,87,71,100,65
DS0528,80.0,67,71,78,42,89
DS0529,54.0,72,65,50,80,62
DS0530,80.0,80,79,49,57,67
DS0531,63.0,86,68,80,73,49
DS0532,84.0,59,70,73,93,48
DS0533,56.0,63,84,44,50,67
DS0534,48.0,77,65,68,86,59
DS0535,88.0,57,64,78,53,68
DS0536,47.0,65,75,92,61,60
DS0537,83.0,72,82,73,76,61
DS0538,68.0,72,25,64,75,77
DS0539,93.0,66,73,62,43,84
DS0540,59.0,58,85,52,75,72
DS0541,76.0,77,62,92,63,76
DS0542,100.0,75,50,67,55,64
DS0543,74.0,80,72,80,81,72
DS0544,63.0,48,60,74,89,78
DS0545,90.0,70,86,84,80,43
DS0546,72.0,64,69,50,70,54
DS0547,67.0,53,98,70,69,64
DS0548,81.0,66,68,75,58,70
DS0549,84.0,69,97,80,64,74
DS0550,68.0,42,25,47,70,69
DS0551,61.0,57,62,86,68,60
DS0552,67.0,61,64,59,66,78
DS0553,74.0,63,53,81,82,84
DS0554,71.0,64,96,53,62,56
DS0555,68.0,49,50,73,78,39
DS0556,56.0,55,93,55,86,63
DS0557,83.0,79,51,52,60,73
DS0558,72.0,56,61,77,91,69
DS0559,69.0,53,100,54,69,75
DS0560,65.0,65,63,47,68,64
DS0561,68.0,49,50,83,51,76
DS0562,80.0,54,77,91,70,85
DS0563,100.0,100,74,78,88,52
DS0564,84.0,85,79,76,48,79
DS0565,66.0,85,53,54,55,65
DS0566,70.0,62,70,81,64,78
DS0567,61.0,49,49,79,70,63
DS0568,62.0,83,86,62,59,81
DS0569,54.0,63,60,72,79,100
DS0570,41.0,96,62,45,83,59
DS0571,81.0,73,68,48,79,71
DS0572,68.0,75,80,67,37,47
DS0573,71.0,77,66,80,94,68
DS0574,75.0,72,69,69,69,64
DS0575,50.0,76,74,75,89,88
DS0576,45.0,72,52,57,87,79
DS0577,79.0,84,84,73,72,78
DS0578,95.0,63,72,81,39,62
DS0579,78.0,65,72,61,89,93
DS0580,60.0,76,54,80,91,94
DS0581,100.0,59,55,88,52,67
DS0582,71.0,51,60,67,62,70
DS0583,85.0,34,58,68,81,62
DS0584,84.0,62,58,90,47,89
DS0585,80.0,54,80,77,93,79
DS0586,80.0,76,67,59,86,75
DS0587,81.0,100,86,70,53,50
DS0588,68.0,67,98,73,46,76
DS0589,96.0,78,62,87,61,72
DS0590,65.0,53,71,56,89,70
DS0591,78.0,51,61,56,97,84
DS0592,71.0,68,66,64,73,76
DS0593,53.0,90,73,60,67,62
DS0594,74.0,69,72,71,74,90
DS0595,65.0,55,65,81,76,76
DS0596,77.0,67,93,64,73,79
DS0597,75.0,49,78,49,79,62
DS0598,33.0,100,78,80,68,42
DS0599,52.0,100,100,94,89,69
DS0600,43.0,84,46,74,57,49
DS0601,100.0,71,58,66,83,62
DS0602,72.0,91,67,84,43,63
DS0603,73.0,93,77,90,65,59
DS0604,63.0,87,64,79,73,81
DS0605,80.0,65,84,67,85,76
DS0606,96.0,88,71,73,59,67
DS0607,92.0,74,81,82,91,81
DS0608,81.0,62,53,76,62,72
DS0609,76.0,62,74,93,73,46
DS0610,71.0,89,68,65,60,43
DS0611,92.0,82,71,73,59,48
DS0612,65.0,61,84,41,40,70
DS0613,69.0,100,67,78,80,81
DS0614,83.0,57,66,84,92,58
DS0615,90.0,54,65,84,68,63
DS0616,55.0,59,54,77,40,55
DS0617,55.0,52,68,88,79,59
DS0618,70.0,78,72,66,76,82
DS0619,100.0,62,62,64,71,65
DS0620,53.0,82,61,52,67,91
DS0621,74.0,59,83,96,61,42
DS0622,70.0,51,52,72,53,47
DS0623,66.0,78,64,71,81,71
DS0624,72.0,80,91,70,100,73
DS0625,82.0,80,87,65,88,50
DS0626,63.0,62,50,61,88,71
DS0627,76.0,65,84,81,90,60
DS0628,82.0,92,62,78,76,70
DS0629,43.0,70,100,60,83,63
DS0630,91.0,74,77,72,62,70
DS0631,75.0,72,69,77,72,29
DS0632,85.0,75,72,91,88,87
DS0633,59.0,66,75,77,62,98
DS0634,81.0,76,66,68,81,53
DS0635,53.0,45,72,64,47,78
DS0636,76.0,92,89,77,52,62
DS0637,64.0,53,100,70,91,83
DS0638,74.0,50,63,58,63,69
DS0639,67.0,81,51,81,79,89
DS0640,94.0,73,85,40,63,42
DS0641,67.0,54,78,79,83,75
DS0642,55.0,65,94,86,45,90
DS0643,37.0,64,64,87,89,84
DS0644,67.0,75,69,47,98,85
DS0645,53.0,95,71,73,40,61
DS0646,55.0,54,81,29,63,91
DS0647,72.0,53,88,100,77,60
DS0648,64.0,71,61,61,76,73
DS0649,71.0,100,91,88,81,96
DS0650,71.0,67,83,100,76,59
DS0651,68.0,80,83,89,76,86
DS0652,77.0,86,61,64,54,62
DS0653,61.0,61,44,46,52,73
DS0654,92.0,77,59,72,58,76
DS0655,84.0,57,50,25,69,58
DS0656,79.0,84,71,58,63,80
DS0657,43.0,76,86,79,64,56
DS0658,72.0,95,61,89,59,87
DS0659,54.0,68,73,62,100,74
DS0660,58.0,57,79,61,66,83
DS0661,100.0,54,74,56,65,97
DS0662,83.0,88,49,100,49,89
DS0663,52.0,58,53,64,76,72
DS0664,59.0,79,42,82,70,63
DS0665,56.0,51,69,82,46,59
DS0666,53.0,69,69,67,57,76
DS0667,78.0,43,91,72,69,54
DS0668,70.0,86,56,79,68,56
DS0669,71.0,58,55,66,81,73
DS0670,100.0,95,81,75,42,72
DS0671,64.0,75,53,72,67,60
DS0672,64.0,72,55,63,65,51
DS0673,81.0,90,60,89,81,67
DS0674,83.0,78,74,72,83,81
DS0675,57.0,72,100,56,59,70
DS0676,93.0,47,54,76,61,47
DS0677,67.0,81,52,100,59,70
DS0678,57.0,64,85,73,69,49
DS0679,77.0,66,100,89,90,80
DS0680,48.0,98,67,49,59,45
DS0681,100.0,82,66,61,69,72
DS0682,43.0,72,45,80,66,98
DS0683,66.0,67,70,87,75,54
DS0684,61.0,64,77,80,67,84
DS0685,67.0,94,68,80,100,76
DS0686,58.0,63,79,87,100,63
DS0687,89.0,70,51,66,39,52
DS0688,80.0,93,64,90,54,54
DS0689,60.0,59,77,70,64,69
DS0690,84.0,81,87,85,94,67
DS0691,49.0,75,62,73,71,77
DS0692,73.0,70,78,70,58,62
DS0693,51.0,84,49,78,94,94
DS0694,65.0,89,69,72,66,62
DS0695,70.0,100,89,62,76,81
DS0696,75.0,39,65,88,79,86
DS0697,62.0,91,79,70,78,74
DS0698,80.0,83,43,69,77,71
DS0699,51.0,100,57,71,52,71
DS0700,52.0,73,42,84,45,58
DS0701,58.0,96,100,78,85,25
DS0702,87.0,88,63,78,67,74
DS0703,98.0,72,73,73,85,79
DS0704,79.0,51,70,50,76,42
DS0705,45.0,72,78,77,79,70
DS0706,50.0,68,49,64,65,83
DS0707,66.0,66,44,78,60,81
DS0708,77.0,65,45,77,58,73
DS0709,76.0,52,58,73,80,63
DS0710,60.0,67,77,47,61,92
DS0711,68.0,69,93,62,50,74
DS0712,66.0,64,60,74,77,76
DS0713,79.0,83,81,65,89,70
DS0714,82.0,67,48,79,58,50
DS0715,86.0,82,85,28,96,80
DS0716,66.0,78,66,65,86,89
DS0717,54.0,51,88,55,70,84
DS0718,80.0,61,94,69,71,87
DS0719,71.0,92,46,45,82,83
DS0720,67.0,66,76,70,62,89
DS0721,100.0,59,46,54,59,55
DS0722,42.0,59,78,68,67,52
DS0723,58.0,37,76,57,80,59
DS0724,32.0,96,93,76,72,47
DS0725,56.0,51,68,73,62,82
DS0726,44.0,74,41,72,50,64
DS0727,63.0,100,76,55,64,58
DS0728,69.0,82,53,42,77,55
DS0729,61.0,67,100,73,77,59
DS0730,83.0,56,59,69,44,82
DS0731,69.0,63,58,86,38,67
DS0732,63.0,83,52,69,70,64
